C_name,Accuracy,Notpromoted_rec,Promoted_rec,notpromoted_prec,promoted_prec,fscore_nonprom,fscore_prom
region,0.8858860887777853,0.9182394573872014,0.5311236863379143,0.9555044112006137,0.37202718006795016,0.9365013722320388,0.4375624375624375
no_of_trainings,0.9054117965002365,0.9452963727514008,0.46806790622473726,0.9511869436201781,0.43830431491294475,0.9482325099837303,0.45269741985926504
age,0.9074386865752314,0.9494249483928044,0.44704931285367827,0.9495649609202182,0.4463276836158192,0.9494949494949495,0.44668820678513727
previous_year_rating,0.872373488277819,0.9017988793866116,0.549717057396928,0.9564469465947298,0.3379721669980119,0.928319356430008,0.4185903354878424
length_of_service,0.8843321397202891,0.9169861397817752,0.5262732417138237,0.9550061425061425,0.3663477771525042,0.935610049646457,0.43198407431984076
KPIs_met >80%,0.9121005337477197,0.9567974048953111,0.4219886822958771,0.9477835390345432,0.4711191335740072,0.9522691418718127,0.44520255863539443
awards_won?,0.7029930410107426,0.6838690651725154,0.9126919967663703,0.9884910485933504,0.20841794351116855,0.8084364650514205,0.3393447550345657
avg_training_score,0.7894061212080264,0.8156885874373341,0.5012126111560227,0.9471791798647377,0.1987179487179487,0.8765300059417708,0.284599495065412
department_Analytics,0.9138571718127153,0.9593777646711884,0.4147130153597413,0.9472956249545025,0.48214285714285715,0.9532984139775099,0.44589308996088656
department_Finance,0.8770353354503074,0.9086552639339428,0.5303152789005658,0.9549821788315512,0.34617414248021106,0.9312429165092557,0.4189016602809706
department_HR,0.862779541922843,0.8885284576820996,0.5804365400161682,0.9587145016307375,0.3219730941704036,0.9222881193801415,0.41419094317854055
department_Legal,0.7020471589757449,0.6836478914774403,0.9037995149555376,0.9873296422487223,0.20669254945461268,0.807893361212755,0.3364429732169726
department_Operations,0.8688602121478278,0.8962695370097317,0.5683104284559418,0.9579229375147742,0.33317535545023697,0.9260712245286613,0.42007768150582614
department_Procurement,0.932436997500169,0.9838543202595105,0.36863379143088115,0.9447118788050404,0.6755555555555556,0.9638858793788371,0.47698744769874474
department_R&D,0.862779541922843,0.8902241226776763,0.5618431689571544,0.9570420860743442,0.3182234432234432,0.9224246591039305,0.4063139432914352
department_Sales & Marketing,0.7821768799405445,0.7834709525213801,0.7679870654810024,0.9737035000916254,0.2444044250064317,0.8682898929651115,0.3708040593286495
department_Technology,0.8948719681102628,0.9319522264818637,0.48827809215844786,0.952312791924062,0.39554682383759004,0.942022505402787,0.4370477568740956
education_-1,0.8768326464428079,0.9072544971984665,0.5432497978981407,0.956102866910108,0.34818652849740933,0.9310383960658218,0.4243763814335333
education_Bachelor's,0.6054996284034863,0.5754202300206429,0.9353274050121261,0.989854153455929,0.16729323308270677,0.7277728565434287,0.2838219060468539
education_Below Secondary,0.893182893047767,0.9306251843114126,0.4826192400970089,0.95174545728719,0.3881664499349805,0.9410668356506505,0.43027027027027026
education_Master's & above,0.686372542395784,0.6641846063108228,0.9296685529506872,0.9904353562005277,0.20157756354075373,0.7951456310679611,0.3313166234514549
gender_f,0.8412269441253969,0.8600707755824241,0.6345998383185125,0.9627001155306156,0.29258292955646664,0.9084962230355892,0.4005102040816327
gender_m,0.8706168502128234,0.8985549985255087,0.5642683912691997,0.9576490924805532,0.3365477338476374,0.9271613860256362,0.42162488674116577
recruitment_channel_other,0.8669008850753327,0.8939103509289296,0.570735650767987,0.958043615676359,0.32913752913752914,0.9248665141113653,0.4175044352454169
recruitment_channel_referred,0.5793527464360516,0.5448982601002654,0.9571544058205336,0.9928801719505642,0.16093516378958814,0.7036367098248286,0.27554107516872234
recruitment_channel_sourcing,0.8848726437402878,0.9175022117369508,0.5270816491511722,0.9551036070606294,0.3681535855448899,0.935925396706024,0.43351063829787234
